                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.64307,                0.31779,                0.85733,                 0.9655,                 0.9563,                0.98523,                0.80916,                0.73308,                0.32378,                0.88596,               0.004159,               0.004159,               0.004159
                     62,                0.64155,                0.31659,                0.85868,                0.96921,                0.95603,                0.98546,                0.81005,                0.73325,                0.32397,                0.88911,                0.00406,                0.00406,                0.00406
                     63,                0.63607,                0.31675,                0.85844,                0.96656,                0.95725,                 0.9854,                0.80853,                0.73203,                0.32399,                0.88954,               0.003961,               0.003961,               0.003961
                     64,                 0.6367,                0.31381,                0.85638,                0.96873,                0.95724,                 0.9854,                0.81179,                 0.7266,                0.32092,                 0.8846,               0.003862,               0.003862,               0.003862
                     65,                0.63337,                0.31235,                0.85635,                0.96766,                0.95725,                0.98522,                0.81001,                 0.7284,                0.32009,                0.88648,               0.003763,               0.003763,               0.003763
                     66,                 0.6271,                0.30848,                0.85556,                0.96871,                0.95545,                0.98475,                0.81302,                0.72079,                0.31866,                0.88658,               0.003664,               0.003664,               0.003664
                     67,                0.62142,                0.30774,                0.85122,                0.96787,                0.95942,                0.98561,                0.81373,                0.72156,                0.31716,                0.88162,               0.003565,               0.003565,               0.003565
                     68,                0.62306,                0.30621,                0.85259,                0.96593,                 0.9619,                0.98533,                0.81351,                0.72093,                0.31671,                0.88104,               0.003466,               0.003466,               0.003466
                     69,                0.61792,                0.30365,                0.85171,                0.96658,                0.96105,                0.98537,                0.81257,                0.72402,                0.31809,                0.88492,               0.003367,               0.003367,               0.003367
                     70,                0.62075,                0.30373,                0.85165,                0.96664,                0.95976,                0.98614,                0.81546,                0.72038,                0.31635,                0.88052,               0.003268,               0.003268,               0.003268
                     71,                0.61311,                0.29991,                0.84934,                0.96813,                0.95852,                0.98584,                 0.8164,                0.71863,                0.31413,                0.87878,               0.003169,               0.003169,               0.003169
                     72,                0.61105,                0.29911,                0.85005,                0.96708,                 0.9605,                0.98592,                0.81858,                0.71366,                0.31195,                0.87948,                0.00307,                0.00307,                0.00307
                     73,                0.60793,                0.29777,                0.85066,                0.96616,                0.96082,                0.98614,                0.81873,                0.71122,                0.31174,                0.88072,               0.002971,               0.002971,               0.002971
                     74,                0.60596,                0.29442,                0.84742,                0.96651,                0.95831,                0.98582,                0.81805,                0.71435,                0.31196,                0.88028,               0.002872,               0.002872,               0.002872
                     75,                0.60527,                0.29437,                0.84866,                0.97054,                0.95508,                0.98637,                  0.817,                0.71449,                0.31171,                0.88163,               0.002773,               0.002773,               0.002773
                     76,                0.60419,                0.29352,                0.84747,                0.97229,                0.95436,                0.98608,                 0.8193,                0.70931,                0.30869,                0.88008,               0.002674,               0.002674,               0.002674
                     77,                0.60007,                0.29273,                0.84485,                0.96768,                0.96032,                  0.986,                0.82016,                 0.7089,                0.30792,                0.88046,               0.002575,               0.002575,               0.002575
                     78,                0.59398,                0.28937,                0.84538,                0.97095,                0.95863,                0.98627,                0.81896,                0.71261,                0.30871,                0.88217,               0.002476,               0.002476,               0.002476
                     79,                0.59375,                0.28919,                0.84427,                 0.9702,                0.95979,                0.98607,                0.81892,                0.71168,                 0.3082,                0.88138,               0.002377,               0.002377,               0.002377
                     80,                0.59295,                0.28727,                0.84483,                0.96921,                0.95979,                 0.9865,                0.81995,                0.70886,                0.30779,                0.88009,               0.002278,               0.002278,               0.002278
                     81,                0.59556,                 0.2879,                0.84554,                0.97141,                0.95873,                 0.9862,                0.82009,                0.70689,                0.30809,                0.87953,               0.002179,               0.002179,               0.002179
                     82,                0.59161,                0.28399,                0.84568,                0.96857,                0.96032,                0.98606,                0.82087,                0.70753,                0.30838,                0.87974,                0.00208,                0.00208,                0.00208
                     83,                0.58282,                0.28234,                0.84294,                0.96806,                0.96233,                0.98631,                0.82186,                0.70601,                0.30757,                 0.8795,               0.001981,               0.001981,               0.001981
                     84,                 0.5805,                0.28057,                0.84516,                0.96952,                0.96148,                0.98645,                0.82332,                0.70463,                0.30808,                0.87909,               0.001882,               0.001882,               0.001882
                     85,                0.58053,                 0.2781,                0.84339,                0.96995,                0.95969,                0.98643,                0.82426,                0.70254,                0.30748,                0.87847,               0.001783,               0.001783,               0.001783
                     86,                0.57164,                0.27586,                 0.8407,                0.97021,                0.95937,                 0.9866,                0.82501,                0.70033,                0.30626,                0.87865,               0.001684,               0.001684,               0.001684
                     87,                0.57424,                0.27616,                0.84143,                0.96997,                0.95979,                0.98646,                0.82536,                0.69916,                0.30667,                0.87743,               0.001585,               0.001585,               0.001585
                     88,                 0.5648,                0.27184,                0.83962,                0.97054,                0.95958,                  0.986,                0.82487,                 0.6999,                0.30505,                0.87781,               0.001486,               0.001486,               0.001486
                     89,                0.56648,                0.27175,                0.83939,                0.96993,                0.95979,                0.98672,                0.82621,                0.69789,                0.30484,                  0.877,               0.001387,               0.001387,               0.001387
                     90,                0.56906,                0.27237,                0.83987,                0.96761,                0.96265,                0.98635,                0.82666,                0.69837,                0.30502,                0.87733,               0.001288,               0.001288,               0.001288
                     91,                0.57945,                0.26333,                 0.8376,                0.97141,                0.96032,                0.98666,                0.83743,                0.66502,                0.29652,                0.87369,               0.001189,               0.001189,               0.001189
                     92,                0.56757,                0.25764,                0.83518,                0.97316,                0.95903,                0.98656,                0.84352,                0.64851,                0.29352,                0.87193,                0.00109,                0.00109,                0.00109
                     93,                0.56511,                0.25593,                0.83356,                0.97307,                0.95831,                0.98617,                0.84643,                0.64225,                0.29219,                0.87139,               0.000991,               0.000991,               0.000991
                     94,                0.55913,                0.25437,                0.83496,                0.97078,                0.96063,                0.98593,                0.84735,                0.63855,                0.29167,                0.87094,               0.000892,               0.000892,               0.000892
                     95,                0.55353,                 0.2506,                  0.833,                0.96958,                0.96201,                0.98624,                0.84868,                0.63654,                0.29146,                0.87114,               0.000793,               0.000793,               0.000793
                     96,                0.55198,                0.24951,                0.83248,                0.97254,                0.95936,                0.98624,                0.84962,                0.63446,                0.29046,                0.87062,               0.000694,               0.000694,               0.000694
                     97,                0.54764,                 0.2483,                 0.8309,                0.97218,                0.96129,                0.98593,                0.84976,                 0.6333,                0.29044,                0.87075,               0.000595,               0.000595,               0.000595
                     98,                0.54622,                0.24594,                 0.8321,                0.97283,                0.96085,                 0.9856,                0.84981,                0.63253,                0.29033,                0.87059,               0.000496,               0.000496,               0.000496
                     99,                 0.5413,                0.24489,                0.83272,                0.97146,                0.96164,                0.98565,                0.85041,                0.63199,                0.29106,                0.87083,               0.000397,               0.000397,               0.000397
                    100,                0.53993,                0.24271,                0.83072,                0.97093,                0.96148,                0.98576,                0.85048,                0.63157,                 0.2907,                0.87088,               0.000298,               0.000298,               0.000298
